Compliance Name:,ISO20022 - Payment Compliance,Description,The ISO 20022 message dashboard gives an overall picture of the five financial business domains in scope of ISO 20022. Its purpose is to show which business processes are already supported either by existing ISO 20022 message definitions or by candidate message definitions covered by an approved Business Justification,,,
Standard,Control Set,Associated Standard,Control Number,Controls,Type,Control Options
A.5,Use of official ISO 20022 Message Definitions,,,,,
A.5.1,"The first requirement is obviously to base the implementation on the official ISO 20022 Message Definitions that are registered and published by the ISO 20022 Registration Authority in the Catalogue of Messages on the iso20022.org website. ISO 20022 Message Definitions usually permit a wide range of different implementations. The community of users will need to select an implementation that complies with the Message Definition (see item 3 below), while best addressing their specific needs",A.5,1,"It is worth mentioning that, if some requirements cannot be addressed by a Message Definition, there is a possibility, for any interested party, to introduce a request to adapt the Message Definition to address a specific requirement (see ISO 20022 Maintenance Process)",,
,,,2,"For the benefit of users that are participating in many ISO 20022 communities, it is important to ensure some consistency between implementations of the same ISO 20022 Message Definitions. Following the recommendations of Market Practice Groups 1 , participating to these Market Practice Groups, or consulting/adopting the implementation guidelines produced by other existing community of users, can help ensuring this consistency",YesOrNo,
,,,3,"Also for the benefit of users that are participating in many ISO 20022 communities, it is important to adopt the new versions of messages and to synchronise the migration to the new versions across communities of users. ISO 20022 uses a yearly maintenance process that culminates with the publication of any new versions of
Message Definitions usually in February2
. Advance draft versions of these new
versions are already made available in December of the previous year",YesOrNo,
,,,4,Implementers and representatives of communities of users are also welcome to participate in the relevant ISO 20022 Standards Evaluation Groups (SEG) which are in charge of evaluating and approving changes requested to existing Message Definitions and new versions of Message Definitions. Participating in these groups allows users and implementers to make sure that the requested changes are justified and are worth the required implementation effort,YesOrNo,
A.6,"ISO 20022 Business Transaction
",,,,,
A.6.1,"Although Business Transactions are not (yet) formally described in ISO 20022, the Message Definition Report (MDR) Part 1 of each message set describes how the organisation that developed the message set recommends the various participants to the transaction to exchange the messages. The MDR Part 1 is one of the three parts of the MDR available for each message set in the Catalogue of Messages",A.6,,,,
A.7,Messages must be valid ISO 20022 Message Instances,,,,,
A.7.1,"The actual message instances that are exchanged by the users of the community must comply with the corresponding ISO 20022 Message Definitions. This implies that the XML messages (.xml) must, among others, be valid against the corresponding XML schema (.xsd) published in the Catalogue of Messages
. This is one of the advantages of XML; the XSD
permits an easy validation of the message instances",A.7,1,"Some Market Practice Groups, adoption initiatives or communities of users may generate and publish XML schemas which look like the original ISO 20022 XML schemas, but are in fact restricted versions of the original schema – or subsets - where all the items of the original ISO 20022 schemas not relevant to their implementation have been removed. If they are constructed in a proper way, in compliance with the original ISO 20022 schemas, these subset schemas can be very useful for the community of users to test that their implementation complies with the restrictions they have agreed. The actual ISO 20022 compliance is however always checked against the original ISO 20022 schemas published on the iso20022.org website",YesOrNo,
A.8,Messages must respect the ISO 20022 Constraints,,,,,
,Message instances must be valid against the Constraints that are registered for the Message Definition. Constraints are defined in the Message Definition Report (MDR) Part 2 under the heading “Constraints”. They comprise rules and guidelines. The MDR Part 2 is one of the three parts of the MDR available for each message set in the Catalogue of Messages.,,1,"Sometimes, the use of a message set is further described in an ISO 20022 Message Usage Guide (MUG). The guidelines in the MUG are part of the official ISO 20022 documentation and should therefore be complied with",YesOrNo,
A.9,Messages must use registered code values,,,,,
