Compliance Name:,PA-DSS,Description,The Payment Card Industry Data Security Standard is an information security standard for organizations that handle branded credit cards from the major card schemes. The PCI Standard is mandated by the card brands and administered by the Payment Card Industry Security Standards Council,,,
Standard,Control Set,Associated Standard,Control Number,Controls,Type,Control Options
A.5,Roles and Responsibilities,,,,,
A.5.1,Vendors,A.5,,,,
A.5.1.1,Vendors are responsible for,A.5.1,1,"Creating PA-DSS compliant Payment Applications that facilitate and do not prevent their
customers‘ PCI DSS compliance (the application cannot require an implementation or
configuration setting that violates or negatively impacts a PCI DSS Requirement",YesOrNo,
,,,2,"Following the best practices of the PCI DSS Requirements whenever the Vendor stores,
processes, or transmits cardholder data (for example, during customer troubleshooting)",YesOrNo,
,,,3,"Educating customers, integrators, and resellers on how to install and configure the Payment
Applications in a PCI DSS-compliant manner",YesOrNo,
,,,4,Ensuring their Payment Applications meet PA-DSS Requirements by successfully passing a PADSS Assessment as specified in PCI PA-DSS Requirements and Security Assessment Procedures,YesOrNo,
,,,5,Complying with the Vendor Release Agreement including the adoption and implementation of Vulnerability Handling Policies consistent with industry best practices,YesOrNo,
,,,6,"Creating a PA-DSS Implementation Guide, specific to each application, in accordance with the requirements in the PA-DSS",YesOrNo,
,,,7,Adhering to their defined software versioning methodology as validated and documented in the ROV,YesOrNo,
,,,8,Providing their customers via the PA-DSS Implementation Guide with any applicable mapping of internally used version numbers to those that have been published (including but not limited to use of wildcards) on the Website,YesOrNo,
,,,9,Providing their customers (directly or indirectly through their integrators and resellers) with a copy of the validated Payment Application‘s PA-DSS Implementation Guide. This includes any subsequent updates to the PA-DSS Implementation Guide that may result from changes to the Payment Application over time,YesOrNo,
A.5.2,Payment Card Brands,A.5,1,"Requirements, mandates, or dates for use of PA-DSS compliant Payment Applications",YesOrNo,
,,,2,Fines or penalties related to use of non-compliant Payment Applications,YesOrNo,
,,,3,Other requirements for using PA-DSS Validated Payment Applications,YesOrNo,
A.5.3,PCI Security Standards Council,A.5,,,,
A.5.3.1,"PCI SSC is the standards body that maintains the PCI SSC standards, including the PCI DSS, Point-toPoint Encryption (P2PE) standard, PTS, and PA-DSS. In relation to PA-DSS, PCI SSC",A.5.3,1,Maintains a centralized repository for all ROVs,YesOrNo,
,,,2,Hosts the List of Validated Payment Applications on the Website,YesOrNo,
,,,3,Provides required training for and qualifies PA-QSA Companies and Employees to assess and validate Payment Applications for PA-DSS compliance,YesOrNo,
,,,4,Maintains and updates the PA-DSS and related documentation according to a standards lifecycle management process,YesOrNo,
,,,5,"Reviews all submissions of PA-DSS ROVs and related change submissions for compliance with baseline quality standards, including but not limited to, confirmation that",YesOrNo,
,,,6,"Submissions (including ROVs, updates and Annual Revalidations) are correct as to form",YesOrNo,
,,,7,PA-QSA Companies properly determine whether candidate Payment Applications meet baseline eligibility criteria for validation under the PA-DSS Program (PCI SSC reserves the right to reject or de-list any Payment Application determined to be ineligible for the PA-DSS Program),YesOrNo,
,,,8,PA-QSA Companies adequately report the PA-DSS compliance of candidate Payment Applications in their associated submissions,YesOrNo,
,,,9,Detail provided in the Submissions meets PCI SSC‘s reporting requirements.,YesOrNo,
A.5.4,"PA-QSA Companies
",A.5,,,,
A.5.4.1,PA-QSA Companies are QSA Companies that are additionally qualified by PCI SSC to perform PA-DSS Assessments. PA-QSA Companies are responsible for,A.5.4,1,Performing PA-DSS Assessments of Payment Applications in accordance with the PA-DSS and the PA-QSA Qualification Requirements;,YesOrNo,
,,,2,Providing an opinion regarding whether the Payment Application meets PA-DSS Requirements,YesOrNo,
