Standard,Vendor Security Risk,Description,organizations should have a tool to assess and monitor a vendor’s security in an automated and continuous manner,,,
Standard,Control Set,Associated Standard,Control Number,Controls,Type,Control Options
A,Organizational Information Security,,,,,
A1,Do you have a member of your organization with dedicated information security duties?,A,1,Do you have a member of your organization with dedicated information security duties?,YesOrNo,
A2,Is a background check required for all employees accessing and handling the organization's data?,A,2,Is a background check required for all employees accessing and handling the organization's data?,YesOrNo,
A3,Does the organization have written information security policies?,A,3,Does the organization have written information security policies?,YesOrNo,
A3.1,"       If yes, please provide copies when responding to this assessment",A3,4,"       If yes, please provide copies when responding to this assessment",Textbox,
A4,Does the organization have a written password policy that details the required structure of passwords?,A,5,Does the organization have a written password policy that details the required structure of passwords?,YesOrNo,
A4.1,       How do you verify password strength?,A4,6,       How do you verify password strength?,Textbox,
A5,Do all staff receive information security awareness training?,A,7,Do all staff receive information security awareness training?,YesOrNo,
A6,Does the organization have a copy of the Data Access Policy and are they willing to comply with the policies as well as the data protection guidelines?,A,8,Does the organization have a copy of the Data Access Policy and are they willing to comply with the policies as well as the data protection guidelines?,YesOrNo,
A7,Does the organization have a formal change control process for IT changes?,A,9,Does the organization have a formal change control process for IT changes?,YesOrNo,
A8,Has the organization implemented an IT Governance framework such as ITIL or ISO 27001?,A,10,Has the organization implemented an IT Governance framework such as ITIL or ISO 27001?,YesOrNo,
A9,Will your company be processing credit cards?,A,11,Will your company be processing credit cards?,YesOrNo,
A9.1,"        If yes, is your company PCI DSS compliant?",A9,12,"        If yes, is your company PCI DSS compliant?",YesOrNo,
B,General Security,,,,,
B1,Is antivirus software installed on data processing servers?,B,1,Is antivirus software installed on data processing servers?,YesOrNo,
B2,Is antivirus software installed on workstations?,B,2,Is antivirus software installed on workstations?,YesOrNo,
B3,Are system and security patches applied to workstations on a routine bases?,B,3,Are system and security patches applied to workstations on a routine bases?,YesOrNo,
B4,Are system and security patches applied to servers on a routine bases?,B,4,Are system and security patches applied to servers on a routine bases?,YesOrNo,
B4.1,   Are system and security patches tested prior to implementation in the production environment?,B4,5,   Are system and security patches tested prior to implementation in the production environment?,YesOrNo,
B5,Do employees have a unique log-in ID when accessing data?,B,6,Do employees have a unique log-in ID when accessing data?,YesOrNo,
B6,Does the organization have security measures in place for data protection?,B,7,Does the organization have security measures in place for data protection?,YesOrNo,
B6.1,"   If yes, please describe in the comments section",B6,8,"   If yes, please describe in the comments section",Textbox,
B7,"Is access restricted to systems that contain sensitive data?
(credit card numbers, social security numbers, HIPAA, & FERPA data sensitive)",B,9,"Is access restricted to systems that contain sensitive data?
(credit card numbers, social security numbers, HIPAA, & FERPA data sensitive)",YesOrNo,
B7.1,"   If yes, what controls or are currently in place to restrict access?",B7,10,"   If yes, what controls or are currently in place to restrict access?",Textbox,
B8,Is physical access to data processing equipment (servers and network equipment) restricted?,B,11,Is physical access to data processing equipment (servers and network equipment) restricted?,YesOrNo,
B8.1,"   If yes, what controls are currently in place?",B8,12,"   If yes, what controls are currently in place?",Textbox,
B9,Is there a process for secure disposal of both IT equipment and media?,B,13,Is there a process for secure disposal of both IT equipment and media?,YesOrNo,
B9.1,"   If yes, please describe in the comments section",B9,14,"   If yes, please describe in the comments section",Textbox,
C,Network Security,,,,,
C1,Are network boundaries protected by firewalls?,C,1,Are network boundaries protected by firewalls?,YesOrNo,
C2,Is regular network vulnerability scanning performed?,C,2,Is regular network vulnerability scanning performed?,YesOrNo,
C3,Are Intrusion Detection Systems (IDS) or Intrusion Prevention Systems (IPS) used by your organization?,C,3,Are Intrusion Detection Systems (IDS) or Intrusion Prevention Systems (IPS) used by your organization?,YesOrNo,
C3.1,"   If yes, please describe in the comments section",C3,4,"   If yes, please describe in the comments section",Textbox,
C4,Are employees required to use a VPN when accessing the organization's systems from all remote locations?,C,5,Are employees required to use a VPN when accessing the organization's systems from all remote locations?,YesOrNo,
C5,Is wireless access allowed in your organization?,C,6,Is wireless access allowed in your organization?,YesOrNo,
